,n,Insertion Sort,Merge Sort,Quick Sort
,210,1052,892,849
,215,1075,950,842
,220,1177,970,892
,225,1247,1050,952
,230,1267,1110,901
,235,1245,1052,939
,240,1298,1027,924
,245,1323,1045,963
,250,1482,1089,1082
,255,1541,1105,1111
,260,1513,1145,1060
,265,1549,1181,1071
,270,1582,1252,1170
,275,1683,1325,1135
,280,1733,1243,1105
,285,1811,1262,1237
,290,1966,1305,1186
,295,1951,1306,1240
,300,2008,1329,1159
,305,2214,1429,1278
,310,2125,1536,1329
,315,2215,1552,1297
,320,2244,1428,1292
,325,2174,1447,1319
,330,2242,1475,1387
,335,2422,1502,1420
,340,2393,1530,1391
,345,2526,1550,1411
,350,2656,1576,1421
,355,2751,1604,1423
,360,2665,1677,1509
,365,2881,1707,1618
,370,2946,1676,1472
,375,2974,1716,1524
,380,3049,1728,1553
,385,3091,1782,1596
,390,3273,1811,1672
,395,3571,1819,1664
,400,3357,1979,1794
,405,3564,2119,1736
,410,3826,1915,1882
,415,3834,1945,1784
,420,3905,2019,1776
,425,4046,2027,1783
,430,3942,2003,1818
,435,3900,2104,1884
,440,4143,2121,1876
,445,4549,2114,1921
,450,4565,2131,1989
,455,4528,2170,2008
,460,4629,2396,2074
,465,4815,2221,1948
,470,4660,2224,1987
,475,4887,2280,2176
,480,5403,2288,2119
,485,4949,2332,2139
,490,5060,2389,2178
,495,5157,2528,2299
,500,5000,2498,2133
###############################################,,,,
,5,11.9999999999,13.9999999993,15.0000000003
,10,15.0000000003,25.9999999992,28.0000000004
,15,22.0000000004,41.9999999997,52.0000000002
,20,29.9999999998,59.9999999995,70
,25,51.9999999993,76,93.9999999998
,30,61.9999999998,93.9999999998,96.0000000001
,35,55.0000000006,112.000000001,111
,40,71.0000000002,132,151
,45,86.9999999997,150,142
,50,95,173,164
,55,111,190,195.000000001
,60,134.999999999,210,233
,65,140,233.000000001,215
,70,147.999999999,251,244
,75,166,275,299
,80,198,300,294.999999999
,85,212,348,305.999999999
,90,242,350,346
,95,276,379.000000001,385
,100,325,389.999999999,358
,105,303,408,410
,110,338.999999999,437,439
,115,407,508,464.999999999
,120,371,484.999999999,502
,125,436.000000001,508,500
,130,431,534,502
,135,467,537,494.000000001
,140,528,586.999999999,514
,145,547.999999999,620.000000001,556
,150,614,621,614.000000001
,155,598,636,604
,160,642,663,691
,165,715,682,641
,170,687,711,614
,175,764,757,744
,180,819,797,783
,185,820.999999999,794,724
,190,947,802.999999999,729
,195,946,835,758
,200,910,853,792
,205,1043,891,811.000000001
,210,1072,894,904.999999999
,215,1069,948,916
,220,1048,950,887
,225,1170,972,892
,230,1170,1023,996
,235,1250,1003,919
,240,1283,1028,963
,245,1339,1049,991
,250,1331,1072,992
,255,1445,1106,989.000000001
,260,1489,1122,1013
,265,1531,1149,1038
,270,1657,1179,1042
,275,1720,1205,1134
,280,1826,1219,1137
,285,1854,1254,1142
,290,1895,1272,1137
,295,2024,1306,1302
,300,1898,1324,1194
,305,2071,1365,1284
,310,2133,1408,1243
,315,2052,1398,1237
,320,2195,1424,1316
,325,2319,1451,1314
,330,2436,1474,1315
,335,2374,1511,1379
,340,2447,1546,1428
,345,2569,1553,1407
,350,2593,1570,1438
,355,2741,1597,1463
,360,2807,1629,1424
,365,3043,1656,1479
,370,2991,1679,1512
,375,3130,1701,1475
,380,2965,1724,1457
,385,3227,1756,1618
,390,3176,1785,1594
,395,3279,1801,1724
,400,3577,1829,1712
,405,3336,1858,1612
,410,3777,1894,1714
,415,3709,1897,1739
,420,3750,1949,1774
,425,3759,2065,1722
,430,4010,2142,1794
,435,4128,2065,1934
,440,3915,2124,1804
,445,4173,2085,1854
,450,4768,2228,1959
,455,4568,2266,1966
,460,4580,2170,1982
,465,4779,2208,2137
,470,4412,2210,2104
,475,4943,2269,1983
,480,4929,2251,2068
,485,4812,2274,1977
,490,5097,2289,2071
,495,5235,2346,2015
,500,5383,2418,2144
###############################################,,,,
,5,10.9999999998,15.0000000003,14.9999999994
,10,15.9999999996,26.0000000001,27.9999999995
,15,23.0000000006,42.9999999998,41.9999999997
,20,29.0000000005,59.0000000003,60.9999999996
,25,40.9999999995,76,77.0000000001
,30,49.0000000006,98.0000000004,97.9999999995
,35,60.9999999996,115,104
,40,71.0000000002,131.000000001,142
,45,79.9999999996,156,158
,50,98.9999999996,171,172
,55,111,192.999999999,204
,60,118,208,199
,65,140,232,222.999999999
,70,158,255,257
,75,173.999999999,273,268
,80,197,293.999999999,278
,85,216,316,284
,90,241,338,317.999999999
,95,256,356,359
,100,284.000000001,380,348
,105,306,400,378
,110,327,421.999999999,417.000000001
,115,379,450,414
,120,383.999999999,483,491.999999999
,125,424,499,436
,130,439,511,478.999999999
,135,468.000000001,538.000000001,538
,140,489.999999999,571,559
,145,458.999999999,582.000000001,570
,150,520,617,559
,155,627.000000001,644,603
,160,657,649.999999999,608
,165,661,675,640
,170,689,696,612
,175,730,713,629.999999999
,180,796,741,698
,185,859,808,751.999999999
,190,825,791,679.000000001
,195,865,818,761
,200,989,837,751
,205,947,859.999999999,782
,210,1034,880,814.999999999
,215,975,913,848
,220,1137,984,858
,225,1179,952,889
,230,1138,982,915
,235,1260,1000,947
,240,1259,1031,951
,245,1313,1051,969
,250,1483,1098,1045
,255,1489,1135,1076
,260,1401,1153,1038
,265,1630,1198,1216
,270,1572,1215,1114
,275,1826,1231,1117
,280,1688,1255,1195
,285,1960,1347,1307
,290,1786,1309,1248
,295,1931,1313,1216
,300,2069,1356,1372
,305,2070,1382,1329
,310,2184,1405,1237
,315,2256,1584,1380
,320,2153,1577,1319
,325,2296,1492,1557
,330,2372,1530,1404
,335,2348,1531,1430
,340,2666,1589,1499
,345,2543,1618,1605
,350,2813,1629,1461
,355,2771,1627,1572
,360,2965,1667,1490
,365,2930,1775,1663
,370,2912,1745,1644
,375,3183,1761,1674
,380,3121,1803,1617
,385,3279,1750,1604
,390,3162,1779,1587
,395,3522,1802,1576
,400,3589,1829,1644
,405,3469,1869,1679
,410,3609,1967,1729
,415,3522,1897,1766
,420,3715,1976,1833
,425,3716,1957,1740
,430,4007,2103,1804
,435,3954,2014,1768
,440,4276,2057,1869
,445,4119,2058,1810
,450,4182,2194,1965
,455,4183,2117,2127
,460,4444,2174,1887
,465,4528,2227,2000
,470,4552,2190,1982
,475,4840,2224,1949
,480,4773,2241,1966
,485,4553,2286,1967
,490,4864,2321,2076
,495,5141,2372,2159
,500,5382,2428,2186
###############################################,,,,
,5,11.9999999999,15.0000000003,15.9999999996
